,DG122,DG130a,DG146a,DG131a,N25/A1,N25a,DG121,DG161a,DG159,DG128a,DG115a,DG151a,DG162,DG132a,DG135a,DG149a,DG126,DG160a,DG164,DG155,DG163a,N25a,N25antiC2a,DG168a,DG165b,DG169a,DG127,DG133,DG147a,DG156-3,DG142,DG125a,DG148,DG138a,DG167,DG152a,DG145,N25antiC2a,DG170a,DG154a,DG166,DG141,N25/A1anti,DG137a,DG124a
"2 mer",8754302,13980995,0,35774516,6940501,27312028,31960777,30187447,51160355,14471366,11805931,11239374,31127032,3901499,35563709,32822149,50447178,36805515,4192116,4174152,6388726,15267635,1903935,7241067,9081719,5701223,5410946,50797700,12306462,18743328,39638566,48848859,31867544,34052301,6449052,10289831,44264649,4371189,13443587,33865231,6981275,42359367,85104256,33346028,7570025
"3 mer",1134210,983678,6887502,3112543,2171078,4805216,2273543,2968129,1859396,4871345,3349031,4279798,1200060,7045894,7258944,2423416,6062918,1273200,32373821,9139822,20876956,4530421,1241415,5729255,26998880,1770015,939066,1999264,1408895,43995318,10126186,2403736,2824328,7628219,23288041,25597411,7466727,1325907,33565006,28171937,664424,4141558,2835502,36409323,6037737
"4 mer",1703604,2972845,914822,5393077,461894,6327820,14687454,5459552,994844,3399238,4203037,1729878,13824605,3189262,4781929,593028,4479758,5323154,4929225,1551923,2201285,5426010,3074876,1306859,977599,4050923,452629,2472921,948930,4287775,6691751,1919795,2149103,9886915,2900444,3177049,11862249,2895090,4815848,4579994,11193530,6566670,6369572,30894781,760555
"5 mer",1081327,474769,2259250,2381662,245294,1515185,2506373,2086472,669366,3105935,5594327,4106908,380047,15845092,17911588,6508579,3969285,751299,2128967,3830910,8691565,1523615,633540,8958275,2669713,2632500,2163746,9618737,3922854,3136284,6577215,15190923,691145,21963233,29299748,0,2537110,465423,2433638,4028581,7731126,905074,5733454,2174831,18986832
"6 mer",7595769,2213055,7241729,1604422,1013123,3460362,3130835,6834928,6719195,1245514,9896200,9333052,2031821,6491149,15107541,4657078,13699831,3689327,3984762,11153437,9724904,2896679,3662117,9861132,907596,13844019,3627895,15655801,7985147,5112069,21124560,24189114,30652509,17272836,6084175,38070993,8014953,3280637,36170915,6781642,35802549,8801409,30218441,11522447,30700979
"7 mer",275224,5033418,877817,1145784,953167,1134334,1977438,537255,510444,2116704,985827,788696,400860,542320,392317,884012,1068660,8477750,1147249,1894304,852435,943667,7541867,4967218,2146136,2315142,2196446,10440519,299507,1295126,12465004,8663282,3674296,9339894,180812,1545970,118599,6919802,1438076,7142853,15679734,45779872,3762556,2411698,4994925
"8 mer",429249,311875,1158356,1687810,482408,5258483,596300,10038968,2166663,13916687,1033364,1352683,774581,2878235,3645043,806005,3163266,867089,404501,875947,1283554,4579316,1430735,1862587,983307,2209098,16961346,2049265,625281,1087951,17177249,6188034,17303972,8392222,0,15487551,216421,1353060,4300984,3362587,1128116,1367335,24597536,36468064,0
"9 mer",217158,1021604,1034890,1793786,275161,2595633,2930969,909899,1506306,604057,1622249,1492164,467780,190344,1808010,3166143,2230601,2752965,664393,1173451,1814820,2187526,1418453,3090540,3220160,3427042,0,2516290,387629,1630786,2663679,3333469,883246,6216434,4254047,3586975,9086698,1368469,2942104,3634287,1111315,1150320,15553802,2097062,228088
"10 mer",708085,982174,647805,1943300,322154,1405979,1094621,3179044,199031,817733,2270649,975581,784041,259521,3121780,2514861,1414237,9450085,1364520,1283561,1172015,1087509,524236,1149497,1732824,572442,308638,14533007,1115127,1042190,3772481,2644378,1286840,2561062,946219,0,15426832,47697,1225470,2325778,204893,2078720,15959930,141060,173346
"11 mer",854642.8,327615.22,511871.76,2049860.65,652831.3,494305.49,1602155.85,691261.51,258851.54,2641597.09,2725250.77,2157880.57,1888715.45,585270.8,984347.91,146169.15,1558554.39,1046079.28,770727.02,659147.14,492758.55,353815.77,458932.18,2616722.51,1306507.9,1060717.8,446941.51,2332536,285208.11,2244652.42,1563411.34,0,1050923.09,27763561.3,0,25885.19,21155049.3,0,1224245.76,10232892.1,4160084.66,4053898.29,1703832.56,9405535.08,306455.95
"12 mer",261209.01,262383.41,556106,820454.21,437042.2,238650.93,1433539.23,364771.47,194149.98,1351068.22,3529127.88,564829.43,390402.83,608798.44,725619.9,246105.58,447690.21,1257994.29,538509.07,663275.01,655569.96,158621.88,984085.69,872632.68,633729.06,388169.32,395527.65,634590.25,138093.3,469515.66,7271150.71,25553.94,129456.31,489261.22,1637957.02,120945.06,127111.96,915315.12,355443.59,3536747.68,1932620.1,4611865.31,2081314.72,838404.8,268248.14
"13 mer",864708.2,369217.99,563233.08,913326.02,1348657.73,,415478.34,500269.92,427839.67,5389872.18,5923191.25,4670593.21,1841889.37,492766.64,1181662.42,245562.02,696078.7,2944721.56,426356.68,984462.83,345715.14,77532.19,6127341.84,7394625.06,1538360.65,2673169.9,3709981.14,1922157.87,1233356.73,10609259.2,8858971.62,4038161,0,4573225.92,540378.57,204350.79,330215.9,6112447.44,1043168.38,2390798.4,5846661.05,1808422.25,1287918.39,6078312.02,2857925.04
"14 mer",324297.8,454561.14,250652.9,780382.53,2089779.67,,940634.89,1293657.93,201904.28,956458.69,1694388.31,2730248.35,153326.21,1324847.12,645184.65,1102788.2,6775515.82,542849.62,869178.79,1912149.28,360939.7,,4234336.52,1662897.97,333184.83,2018005.45,967436.48,425798.38,186621.4,3792200.33,3564797,2788438.18,176827.35,706316.43,393216.55,240558.5,507732.22,4220788.5,725076.38,856677.46,145000.94,1590134.85,605494.37,3057922.35,1516770.27
"15 mer",1010967.82,528985.47,383380.99,473036.99,1154598.23,,208455.62,456662.92,297588,1685160.32,427450.61,325716.94,259239.18,314830.37,375375.32,1264391.15,837875.09,605297.74,1899287.17,761734.66,856953.07,,341467.43,188363.96,837722.47,331614.78,,1247237.71,382064.74,875021.76,209450.1,2551143.24,91551.18,88914.69,334989.41,1107137.29,699404.31,346388.68,943388.43,78258.86,193522.03,,470198.86,917877.68,430001.82
"16 mer",434742.19,78154.57,224907.25,327491.28,485604.6,,161345.35,,65234.09,299754.58,169099.17,344405.83,240435.38,256784.35,462046.1,9508661.99,394903.47,,378647.3,,556723.82,,,820173.67,313326.9,303419.45,,722626.15,628877.8,,245672.91,412812.22,315763.47,333979.02,145657.07,,,,301324.72,143223.18,145611.48,,461724.57,,
"17 mer",350146.56,76891.32,281075.31,,595810.03,,174208.94,,147392.99,241067.26,148546.15,,,,329250.08,1878583.72,,,245205.31,,662096.33,,,,,141719.37,,,288415.38,,,,290519.68,,189190.76,,,,,115185.69,167501.74,,,,
"18 mer",154431.96,200435.66,223303.21,,270223.95,,,,191262.54,284082.07,222693.15,,,,135065.61,231580.14,,,,,251620.2,,,,,195550.56,,,,,,,,,155414.42,,,,,,,,,,
"19 mer",,,,,231925.01,,,,,,,,,,,,,,,,,,,,,136494.39,,,,,,,,,161932.83,,,,,,,,,,
"20 mer",,,,,,,,,,,,,,,,,,,,,,,,,,236704.58,,,,,,,,,162738.01,,,,,,,,,,
FL,1763728,2054030,1615743,1991354,1780187,2083201,1267497,1928053,1520087,1431377,1542714,2017244,1559189,1434190,1468830,1450821,1724659,1095510,1412449,1098810,1242105,2311400,38448,1185583,1110608,1297738,948343,2152468,273655,1062065,1207787,1782954,409666,833533,296984,527300,450967,366404,716920,340344,449742,513791,626776,355522,284413
